ru	Основной
Ресторан	музыкант, посетитель, вышибала, метрдотель, шеф-повар, официант, критик	restaurant.png
Спа-салон	клиент, стилист, массажист, визажист, маникюрщик, косметолог, дерматолог	spa.png
Отель	бармен, постоялец, горничная, швейцар, охранник, управляющий, портье	hotel.png
Университет	студент, вахтёр, ректор, профессор, аспирант, психолог, декан	university.png
Банк	клиент, охранник, грабитель, кассир, управляющий, инкассатор, консультант	bank.png
Больница	терапевт, хирург, медсестра, пациент, патологоанатом, главврач, интерн	hospital.png
Посольство	дипломат, посол, чиновник, секретарь, охранник, турист, беженец	embassy.png
Киностудия	звукооператор, каскадёр, оператор, костюмер, режиссёр, актёр, статист	studio.png
Цирк-шапито	дрессировщик, посетитель, фокусник, жонглёр, клоун, метатель ножей, акробат	shapito circus.png
Театр	гардеробщик, суфлёр, билетёр, зритель, режиссёр, актёр, рабочий сцены	theater.png
Церковь	священник, грешник, хорист, прихожанин, нищий, турист, меценат	church.png
Овощебаза	санинспектор, охранник, грузчик, бухгалтер, бригадир, лаборант, водитель	vegetable base.png
Супермаркет	мерчендайзер, охранник, промоутер, кассир, мясник, уборщик, покупатель	supermarket.png
Полицейский участок	журналист, детектив, адвокат, криминалист, архивариус, патрульный, преступник	police station.png
Корпоративная вечеринка	менеджер, ведущий, незваный гость, шеф, секретарь, бухгалтер, курьер	corporate party.png
Океанский лайнер	богатый пассажир, стюард, капитан, бармен, музыкант, кок, радист	ocean liner.png
Подводная лодка	электромеханик, матрос, командир, штурман, гидроакустик, кок, радист	submarine.png
Станция техобслуживания	мастер-приёмщик, шиномонтажник, мойщик, мотоциклист, электрик, директор, автомобилист	service station.png
Полярная станция	начальник экспедиции, геофизик, биолог, метеоролог, медик, гидролог, радист	polar station.png
Пляж	фотограф с обезьянкой, аниматор, отдыхающий, парапланерист, разносчик еды, спасатель, вор	beach.png
Воинская часть	продавец в магазине, младший офицер, врач, караульный, рядовой, полковник, дезертир	military unit.png
Войско крестоносцев	плененный сарацин, слуга, епископ, лучник, монах, оруженосец, рыцарь	crusader army.png
Пассажирский поезд	разносчик товаров, повар вагоне-ресторана, пассажир, пограничник, проводник, машинист, кочегар	passenger train.png
Школа	классный руководитель, охранник, физрук, школьник, директор, уборщик, завуч	school.png
База террористов	мальчик на побегушках, глава ячейки, боевик, смертник, медик, новобранец, пастух	terrorist base.png
Партизанский отряд	пленный полицай, разведчик, партизан, радист, медик, солдат, повар	partisan detachment.png
Казино	азартный посетитель, начальник охраны, вышибала, шулер, бармен, администратор, крупье	casino.png
Пиратский корабль	связанный пленник, канонир, матрос, юнга, капитан, кок, раб	pirate ship.png
Орбитальная станция	космический турист, инженер-исследователь, инженер-исслед., врач, пилот, командир, инопланетянин	orbital station.png
Самолёт	командир экипажа, пассажир бизнес-класса, эконом-класса, стюард, второй пилот, бортинженер, безбилетник	airplane.png
