ru	Страны
Австралия	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Австрия	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Азербайджан	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Албания	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Алжир	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Американское Самоа	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Ангилья	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Ангола	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Андорра	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Антигуа и Барбуда	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Аргентина	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Армения	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Аруба	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Афганистан	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Багамские Острова	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бангладеш	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Барбадос	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бахрейн	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Белиз	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Белоруссия	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бельгия	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бенин	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бермуды	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Болгария	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Боливия	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Босния и Герцеговина	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Ботсвана	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бразилия	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Британские Виргинские острова	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бруней	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Буркина-Фасо	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бурунди	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Бутан	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Вануату	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Ватикан	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Великобритания	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Венгрия	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Венесуэла	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Виргинские oстрова Coeдинeнныx Штaтoв	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Восточный Тимор	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Вьетнам	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Габон	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
Гаити	гражданин, турист, чиновник, врач, учитель, иммигрант, полицейский, дипломат, гангстер
